locationId,clinicName,Address,postalCode,medications,procedures
1,Trucare Medical,Blk 682 Hougang Ave 4 #01-320,530682,Metformin; Simvastatin; Paracetamol; Salbutamol,Health Screening; Minor Surgery
2,The Clinic Group,1 Raffles Quay #09-02,048583,Ibuprofen; Amlodipine,X-Ray
3,CHANGI CLINIC,848 Sims Avenue #01-734 Eunosville,400848,Ibuprofen; Simvastatin; Atorvastatin,Health Screening; Vaccination; ECG; Endoscopy
4,The Clinic Group,1 Raffles Quay #09-02,048583,Simvastatin; Paracetamol; Amoxicillin; Lisinopril; Ibuprofen,Vaccination; Health Screening; ECG; Physiotherapy; X-Ray
5,Central 24-HR Clinic (Yishun),"701A Yishun Ave 5, #01-04",761701,Salbutamol; Simvastatin; Amlodipine; Amoxicillin,Minor Surgery; Vaccination; Endoscopy; Physiotherapy; Wound Dressing
6,FRONTIER PEOPLE'S CLINIC PTE LTD,Blk 123 Bedok North Street 2 #01-152,460123,Paracetamol; Salbutamol; Atorvastatin; Metformin; Amoxicillin,X-Ray; Blood Test; Wound Dressing; ECG
7,FRONTIER PEOPLE'S CLINIC PTE LTD,Blk 123 Bedok North Street 2 #01-152,460123,Lisinopril; Atorvastatin; Paracetamol; Salbutamol; Amoxicillin,Endoscopy; Health Screening
8,OneCare Clinic Yishun,846 Yishun Ring Rd #01-3669,760846,Lisinopril; Metformin; Atorvastatin,Vaccination; Blood Test; Wound Dressing
9,The Clinic Group,1 Raffles Quay #09-02,048583,Salbutamol; Ibuprofen,Blood Test; Health Screening
10,Acumed Medical Group,Blk 727 Ang Mo Kio Ave 6,560727,Paracetamol; Amoxicillin; Amlodipine; Lisinopril,X-Ray; Physiotherapy
11,Central 24-HR Clinic (Bedok),"219 Bedok Central, #01-124",460219,Atorvastatin; Ibuprofen,Wound Dressing; Ultrasound; Minor Surgery
12,Central 24-HR Clinic (Hougang),"681 Hougang Ave 8, #01-829",530681,Simvastatin; Ibuprofen; Metformin,Ultrasound; Vaccination; Minor Surgery; Health Screening
13,Central 24-HR Clinic (Jurong),"492 Jurong West Street 41, #01-54",640492,Paracetamol; Salbutamol,X-Ray; Ultrasound; ECG; Wound Dressing
14,CHANG CLINIC & SURGERY,7 Everton Park #01-21,080007,Simvastatin; Lisinopril; Paracetamol,Health Screening; Vaccination
15,Everhealth Clinic & Surgery,201D Tampines Street 21 #01-1171,524201,Amlodipine; Lisinopril; Omeprazole,ECG; X-Ray; Blood Test; Vaccination
16,Central 24-HR Clinic (Hougang),"681 Hougang Ave 8, #01-829",530681,Salbutamol; Lisinopril; Paracetamol; Amoxicillin,Blood Test; Wound Dressing; Endoscopy; Physiotherapy
17,The Clinic Group,1 Raffles Quay #09-02,048583,Metformin; Amoxicillin; Atorvastatin,Vaccination
18,Acumed Medical Group,Blk 727 Ang Mo Kio Ave 6,560727,Lisinopril,Ultrasound; Vaccination
19,FRONTIER PEOPLE'S CLINIC PTE LTD,Blk 123 Bedok North Street 2 #01-152,460123,Lisinopril; Simvastatin; Paracetamol; Omeprazole,Vaccination; Blood Test; ECG; Physiotherapy
20,Central 24-HR Clinic (Hougang),"681 Hougang Ave 8, #01-829",530681,Amlodipine; Simvastatin; Atorvastatin; Salbutamol,Physiotherapy; Wound Dressing; Health Screening; ECG; Blood Test
21,Healthway Medical,446 Clementi Ave 3 #01-201,120446,Omeprazole; Salbutamol; Atorvastatin; Ibuprofen,Vaccination
22,Central 24-HR Clinic (Yishun),"701A Yishun Ave 5, #01-04",761701,Omeprazole,Minor Surgery; X-Ray; Vaccination
23,Healthway Medical,446 Clementi Ave 3 #01-201,120446,Lisinopril; Paracetamol; Simvastatin; Metformin; Salbutamol,Physiotherapy; Vaccination; Blood Test; Ultrasound
24,East Coast Family Clinic,121 Bedok Reservoir Rd #01-202,470121,Atorvastatin; Metformin,Wound Dressing; Ultrasound; X-Ray
25,FRONTIER PEOPLE'S CLINIC PTE LTD,Blk 123 Bedok North Street 2 #01-152,460123,Paracetamol; Amlodipine; Metformin; Ibuprofen,X-Ray
26,Central 24-HR Clinic (Clementi),450 Clementi Ave 3 #01-291,120450,Paracetamol; Simvastatin; Metformin,Blood Test; Health Screening; Vaccination; Wound Dressing; Minor Surgery
27,Everhealth Clinic & Surgery,201D Tampines Street 21 #01-1171,524201,Amlodipine; Amoxicillin; Salbutamol; Simvastatin; Ibuprofen,Wound Dressing; Minor Surgery; X-Ray
28,Silver Cross Family Clinic,2 Lorong Lew Lian #01-50,531002,Salbutamol; Atorvastatin; Amoxicillin; Simvastatin; Amlodipine,Vaccination; Minor Surgery
29,Zion Medical Centre,Blk 502 Jurong West Ave 1 #01-815,640502,Lisinopril; Amlodipine; Paracetamol; Simvastatin,Endoscopy; Physiotherapy; X-Ray; ECG; Ultrasound
30,Acumed Medical Group,Blk 727 Ang Mo Kio Ave 6,560727,Salbutamol,Minor Surgery; Endoscopy
31,Healthway Medical,446 Clementi Ave 3 #01-201,120446,Lisinopril; Atorvastatin; Ibuprofen,Minor Surgery; Vaccination
32,Zion Medical Centre,Blk 502 Jurong West Ave 1 #01-815,640502,Ibuprofen,Minor Surgery; Physiotherapy; Vaccination
33,CHANG CLINIC & SURGERY,7 Everton Park #01-21,080007,Amlodipine,Vaccination; Minor Surgery; Ultrasound; X-Ray; Health Screening
34,Central 24-HR Clinic (Bedok),"219 Bedok Central, #01-124",460219,Amoxicillin; Paracetamol; Omeprazole; Atorvastatin; Ibuprofen,Endoscopy
35,Acumed Medical Group,Blk 727 Ang Mo Kio Ave 6,560727,Salbutamol; Lisinopril; Amoxicillin,Physiotherapy; Ultrasound; Health Screening
36,TANG FAMILY CLINIC,84 Jalan Jurong Kechil,598593,Simvastatin; Ibuprofen; Metformin; Paracetamol; Atorvastatin,Wound Dressing; Endoscopy; Blood Test; Vaccination
37,CHANGI CLINIC,848 Sims Avenue #01-734 Eunosville,400848,Salbutamol,ECG; Health Screening
38,Healthway Medical,446 Clementi Ave 3 #01-201,120446,Salbutamol,Blood Test; Health Screening
39,Central 24-HR Clinic (Yishun),"701A Yishun Ave 5, #01-04",761701,Ibuprofen; Amlodipine; Atorvastatin; Amoxicillin,Health Screening; ECG
40,Central 24-HR Clinic (Yishun),"701A Yishun Ave 5, #01-04",761701,Metformin,Health Screening; ECG
41,Central 24-HR Clinic (Yishun),"701A Yishun Ave 5, #01-04",761701,Metformin; Ibuprofen,Physiotherapy; Minor Surgery; Endoscopy; X-Ray; Ultrasound
42,TANG FAMILY CLINIC,84 Jalan Jurong Kechil,598593,Paracetamol; Omeprazole; Simvastatin; Ibuprofen; Lisinopril,Health Screening; Wound Dressing; Endoscopy; Vaccination
43,CHANG CLINIC & SURGERY,7 Everton Park #01-21,080007,Ibuprofen,Minor Surgery
44,Central 24-HR Clinic (Clementi),450 Clementi Ave 3 #01-291,120450,Salbutamol,ECG; Endoscopy
45,Central 24-HR Clinic (Bedok),"219 Bedok Central, #01-124",460219,Amlodipine,ECG; Health Screening; Vaccination
46,CHANG CLINIC & SURGERY,7 Everton Park #01-21,080007,Amoxicillin,ECG
47,Silver Cross Family Clinic,2 Lorong Lew Lian #01-50,531002,Salbutamol; Simvastatin,Vaccination; Minor Surgery; X-Ray
48,CHANGI CLINIC,848 Sims Avenue #01-734 Eunosville,400848,Amoxicillin; Amlodipine,Endoscopy; Health Screening
49,Central 24-HR Clinic (Jurong),"492 Jurong West Street 41, #01-54",640492,Atorvastatin; Paracetamol; Metformin,Physiotherapy; Vaccination
50,TANG FAMILY CLINIC,84 Jalan Jurong Kechil,598593,Lisinopril; Ibuprofen; Atorvastatin,Blood Test; ECG; Wound Dressing; X-Ray; Minor Surgery
51,CHANGI CLINIC,848 Sims Avenue #01-734 Eunosville,400848,Salbutamol; Metformin; Omeprazole; Atorvastatin; Amlodipine,Health Screening; Ultrasound; X-Ray; Wound Dressing; Physiotherapy
52,The Clinic Group,1 Raffles Quay #09-02,048583,Lisinopril; Salbutamol; Amlodipine; Amoxicillin,Blood Test; Ultrasound; Health Screening; Vaccination
53,Trucare Medical,Blk 682 Hougang Ave 4 #01-320,530682,Ibuprofen; Amlodipine,Physiotherapy; Health Screening
54,Central 24-HR Clinic (Jurong),"492 Jurong West Street 41, #01-54",640492,Simvastatin; Omeprazole; Paracetamol; Salbutamol; Atorvastatin,Ultrasound
55,Bukit Batok Medical Clinic,632 Bukit Batok Central,650632,Amoxicillin; Simvastatin; Paracetamol,Health Screening; Vaccination; Blood Test; Endoscopy
56,CHANGI CLINIC,848 Sims Avenue #01-734 Eunosville,400848,Paracetamol,Blood Test; Wound Dressing; Endoscopy
57,Central 24-HR Clinic (Hougang),"681 Hougang Ave 8, #01-829",530681,Atorvastatin; Ibuprofen; Salbutamol; Amoxicillin; Omeprazole,Physiotherapy; Ultrasound; Minor Surgery
58,Central 24-HR Clinic (Hougang),"681 Hougang Ave 8, #01-829",530681,Lisinopril; Simvastatin; Amlodipine; Amoxicillin,Blood Test
59,Zion Medical Centre,Blk 502 Jurong West Ave 1 #01-815,640502,Metformin; Atorvastatin; Amlodipine; Paracetamol,Health Screening
60,Central 24-HR Clinic (Jurong),"492 Jurong West Street 41, #01-54",640492,Paracetamol; Lisinopril; Ibuprofen; Atorvastatin,Wound Dressing; Endoscopy; ECG; Blood Test
61,Zion Medical Centre,Blk 502 Jurong West Ave 1 #01-815,640502,Metformin; Ibuprofen,Wound Dressing; ECG; Health Screening; Vaccination
62,Acumed Medical Group,Blk 727 Ang Mo Kio Ave 6,560727,Paracetamol; Metformin; Lisinopril; Omeprazole,X-Ray; Ultrasound
